timestamp,line_id,category,power_rating_kw,idle_power_kw,operating_time_hours,idle_time_hours,electricity_kwh,fuel_consumption_kwh,fuel_type,compressed_air_kwh,hvac_kwh,production_output_units,machine_utilization_pct,electricity_source,onsite_fuel_boiler_kwh,water_usage_m3,dedicated_resources,packaging_type
2024-01-01 08:00,Line1,Category1,150,20,8,2,1240,180,natural_gas,85,120,520,87,grid,95,12,3,cardboard
2024-01-01 08:00,Line2,Category1,130,18,8,2,1080,150,natural_gas,70,100,460,82,grid,80,10,3,cardboard
2024-01-01 08:00,Line3,Category1,160,22,8,2,1320,200,diesel,90,130,540,90,grid,110,14,4,plastic
2024-01-02 08:00,Line1,Category1,150,20,8,2,1210,175,natural_gas,83,118,510,85,grid,92,11,3,cardboard
2024-01-02 08:00,Line2,Category1,130,18,7,3,980,140,natural_gas,65,95,420,79,grid,75,9,3,cardboard
2024-01-02 08:00,Line3,Category1,160,22,8,2,1300,195,diesel,88,128,530,88,grid,108,13,4,plastic
2024-01-03 08:00,Line1,Category1,150,20,8,2,1250,182,natural_gas,86,122,525,88,grid,97,12,3,cardboard
2024-01-03 08:00,Line2,Category1,130,18,8,2,1100,155,natural_gas,72,102,470,84,grid,82,10,3,cardboard
2024-01-03 08:00,Line3,Category1,160,22,8,2,1310,198,diesel,89,129,535,89,grid,109,14,4,plastic
2024-01-04 08:00,Line1,Category1,150,20,8,2,1230,178,natural_gas,84,120,515,86,grid,94,12,3,cardboard
2024-01-04 08:00,Line2,Category1,130,18,8,2,1090,148,natural_gas,71,101,455,83,grid,78,10,3,cardboard
2024-01-04 08:00,Line3,Category1,160,22,7,3,1150,185,diesel,82,122,500,85,grid,100,13,4,plastic
2024-01-05 08:00,Line1,Category1,150,20,8,2,1260,183,natural_gas,87,123,528,89,grid,98,12,3,cardboard
2024-01-05 08:00,Line2,Category1,130,18,8,2,1095,152,natural_gas,71,101,462,83,grid,80,10,3,cardboard
2024-01-05 08:00,Line3,Category1,160,22,8,2,1315,197,diesel,89,130,537,90,grid,110,14,4,plastic
2024-01-01 08:00,Line1,Category2,200,30,8,2,1650,220,natural_gas,100,140,680,91,solar,115,15,5,mixed
2024-01-01 08:00,Line2,Category2,180,25,8,2,1480,200,natural_gas,95,135,620,88,solar,105,13,4,mixed
2024-01-01 08:00,Line3,Category2,210,32,8,2,1720,235,diesel,105,150,700,92,grid,125,16,5,plastic
2024-01-02 08:00,Line1,Category2,200,30,8,2,1630,215,natural_gas,98,138,670,90,solar,112,15,5,mixed
2024-01-02 08:00,Line2,Category2,180,25,7,3,1320,185,natural_gas,88,128,580,84,solar,98,12,4,mixed
2024-01-02 08:00,Line3,Category2,210,32,8,2,1700,230,diesel,103,148,690,91,grid,122,16,5,plastic
2024-01-03 08:00,Line1,Category2,200,30,8,2,1660,222,natural_gas,101,141,685,92,solar,117,15,5,mixed
2024-01-03 08:00,Line2,Category2,180,25,8,2,1490,202,natural_gas,96,136,625,89,solar,106,13,4,mixed
2024-01-03 08:00,Line3,Category2,210,32,8,2,1710,232,diesel,104,149,695,91,grid,123,16,5,plastic
2024-01-04 08:00,Line1,Category2,200,30,8,2,1640,218,natural_gas,99,139,675,90,solar,114,15,5,mixed
2024-01-04 08:00,Line2,Category2,180,25,8,2,1470,198,natural_gas,94,134,615,88,solar,103,13,4,mixed
2024-01-04 08:00,Line3,Category2,210,32,7,3,1520,210,diesel,96,142,640,87,grid,112,15,5,plastic
2024-01-05 08:00,Line1,Category2,200,30,8,2,1655,221,natural_gas,100,140,682,91,solar,116,15,5,mixed
2024-01-05 08:00,Line2,Category2,180,25,8,2,1485,201,natural_gas,95,135,622,88,solar,105,13,4,mixed
2024-01-05 08:00,Line3,Category2,210,32,8,2,1715,233,diesel,104,149,697,92,grid,124,16,5,plastic
